id,meal_id,step,instruction
1,1,1,Boil spaghetti according to package instructions.
2,1,2,Cook pancetta in a pan until crispy, then set aside.
3,1,3,Whisk together eggs and grated cheese in a bowl.
4,1,4,Combine spaghetti, pancetta, and egg mixture. Toss until creamy.
5,1,5,Serve hot with additional grated Parmesan and freshly ground black pepper.
6,2,1,Grill chicken breast until cooked through.
7,2,2,Chop lettuce and add to a large bowl with croutons.
8,2,3,Top salad with grilled chicken and Caesar dressing.
9,2,4,Toss the salad to evenly distribute the dressing.
10,2,5,Serve immediately for the freshest taste.
11,3,1,Season ground beef with taco seasoning and cook until browned.
12,3,2,Fill tortillas with cooked beef, shredded cheese, lettuce, and salsa.
13,3,3,Top with sour cream and jalapenos if desired.
14,3,4,Serve with extra salsa or guacamole on the side.
15,3,5,Enjoy your taco feast!
16,4,1,Stir-fry mixed vegetables in a pan with olive oil.
17,4,2,Add garlic and ginger, cooking until fragrant.
18,4,3,Add soy sauce and stir to coat the vegetables.
19,4,4,Serve the stir-fried vegetables over a bed of rice.
20,4,5,Top with sesame seeds or chopped green onions.
21,5,1,Preheat the oven and bake the pizza dough.
22,5,2,Spread tomato sauce on the pizza dough and top with mozzarella.
23,5,3,Bake the pizza until cheese is bubbly and golden, then add fresh basil.
24,5,4,Let the pizza cool for a few minutes before slicing.
25,5,5,Serve with extra virgin olive oil drizzle for added flavor.
26,6,1,Cook fettuccine pasta according to package directions.
27,6,2,Grill chicken breast and slice into strips.
28,6,3,Mix the cooked pasta with creamy Alfredo sauce and top with chicken.
29,6,4,Serve with grated Parmesan and fresh parsley.
30,6,5,Enjoy with a side of garlic bread.
31,7,1,Saute onions, garlic, and peppers until soft.
32,7,2,Add canned beans, tomatoes, and spices. Simmer for 30 minutes.
33,7,3,Stir occasionally to prevent burning.
34,7,4,Adjust seasoning as necessary to taste.
35,7,5,Serve hot with cornbread or tortilla chips.
36,8,1,Season salmon fillets with salt and pepper.
37,8,2,Sear salmon in a hot pan with butter until golden and cooked through.
38,8,3,Serve with a squeeze of fresh lemon juice.
39,8,4,Add steamed vegetables or a salad as a side.
40,8,5,Enjoy your healthy, delicious meal.
41,9,1,Brown beef stew meat in a pan with oil.
42,9,2,Add vegetables, broth, and spices. Simmer for 2 hours.
43,9,3,Stir occasionally to prevent the stew from burning.
44,9,4,Check the seasoning and adjust if needed.
45,9,5,Serve the stew with fresh bread or over mashed potatoes.
46,10,1,Whisk together flour, eggs, milk, and sugar for pancake batter.
47,10,2,Heat a non-stick pan over medium heat.
48,10,3,Pour batter into the pan and cook until bubbles form.
49,10,4,Flip the pancakes and cook until golden brown on both sides.
50,10,5,Serve with syrup and butter for a classic breakfast.

