id,meal_id,name,amount,unit,percentOfDailyNeeds
1,1,Calories,600,kcal,30
2,1,Fat,25,grams,38
3,1,Carbs,75,grams,25
4,1,Protein,20,grams,40
5,2,Calories,450,kcal,22
6,2,Fat,15,grams,23
7,2,Carbs,35,grams,12
8,2,Protein,30,grams,60
9,3,Calories,350,kcal,18
10,3,Fat,18,grams,27
11,3,Carbs,25,grams,8
12,3,Protein,22,grams,44
13,4,Calories,200,kcal,10
14,4,Fat,10,grams,15
15,4,Carbs,20,grams,7
16,4,Protein,5,grams,10
17,5,Calories,800,kcal,40
18,5,Fat,35,grams,54
19,5,Carbs,90,grams,30
20,5,Protein,25,grams,50
21,6,Calories,700,kcal,35
22,6,Fat,28,grams,43
23,6,Carbs,80,grams,27
24,6,Protein,35,grams,70
25,7,Calories,250,kcal,13
26,7,Fat,5,grams,8
27,7,Carbs,40,grams,13
28,7,Protein,15,grams,30
29,8,Calories,500,kcal,25
30,8,Fat,30,grams,46
31,8,Carbs,5,grams,2
32,8,Protein,40,grams,80
33,9,Calories,400,kcal,20
34,9,Fat,15,grams,23
35,9,Carbs,45,grams,15
36,9,Protein,35,grams,70
37,10,Calories,350,kcal,18
38,10,Fat,12,grams,18
39,10,Carbs,50,grams,17
40,10,Protein,8,grams,16

